INFO 2023-06-19 10:52:38,858 Watching for file changes with StatReloader
INFO 2023-06-19 10:52:46,981 "GET / HTTP/1.1" 302 0
INFO 2023-06-19 10:52:47,022 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2023-06-19 10:52:47,105 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-06-19 10:52:47,107 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58578
INFO 2023-06-19 10:52:47,111 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19724
INFO 2023-06-19 10:52:47,119 "GET /static/dist/css/login-page.css HTTP/1.1" 200 8610
INFO 2023-06-19 10:52:47,122 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686707
INFO 2023-06-19 10:52:47,239 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88145
INFO 2023-06-19 10:52:47,244 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13632
INFO 2023-06-19 10:52:47,250 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80698
INFO 2023-06-19 10:52:47,258 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5251
INFO 2023-06-19 10:52:47,262 "GET /static/dist/js/demo.js HTTP/1.1" 200 12616
INFO 2023-06-19 10:52:47,265 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42383
INFO 2023-06-19 10:52:47,267 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 57530
INFO 2023-06-19 10:52:47,268 "GET /static/dist/img/login.png HTTP/1.1" 200 144918
INFO 2023-06-19 10:52:47,572 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2023-06-19 10:52:51,458 "POST /accounts/login/ HTTP/1.1" 200 4106
INFO 2023-06-19 10:52:58,624 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-06-19 10:52:58,648 "GET / HTTP/1.1" 200 9290
INFO 2023-06-19 10:52:58,723 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25780
INFO 2023-06-19 10:52:58,732 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042446
INFO 2023-06-19 10:52:58,860 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-06-19 10:53:11,239 "GET /student/list HTTP/1.1" 200 9946
INFO 2023-06-19 10:53:11,274 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:53:11,287 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:11,288 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:53:11,288 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:53:11,288 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:11,289 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:53:11,299 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:11,300 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:11,300 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:11,301 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:11,322 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:14,162 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2023-06-19 10:53:27,953 "GET /student/list HTTP/1.1" 200 9946
INFO 2023-06-19 10:53:27,988 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:53:27,992 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:42,773 Watching for file changes with StatReloader
INFO 2023-06-19 10:53:44,405 "GET /student/list HTTP/1.1" 200 9946
INFO 2023-06-19 10:53:44,444 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:53:44,451 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:53:44,466 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:44,467 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:53:44,470 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:44,471 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:53:44,472 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:44,473 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:44,484 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:44,485 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:44,485 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:50,034 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2023-06-19 10:53:50,061 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:53:50,065 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:53:59,055 "POST /student/create/ HTTP/1.1" 200 13925
INFO 2023-06-19 10:54:53,209 "POST /student/create/ HTTP/1.1" 200 13932
INFO 2023-06-19 10:54:53,241 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:54:53,256 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:54:53,256 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:54:53,257 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:54:53,257 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:54:53,257 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:54:53,266 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2023-06-19 10:54:53,271 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:54:53,272 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:54:53,272 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:54:53,272 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2023-06-19 10:54:53,288 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2023-06-19 10:54:53,313 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:55:10,365 "POST /student/create/ HTTP/1.1" 200 13941
INFO 2023-06-19 10:55:16,913 "POST /student/create/ HTTP/1.1" 200 13941
INFO 2023-06-19 10:55:32,779 "POST /student/create/ HTTP/1.1" 200 13931
INFO 2023-06-19 10:55:32,805 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:55:32,820 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:55:32,820 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:55:32,820 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:55:32,820 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:55:32,820 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:55:32,836 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:55:32,837 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2023-06-19 10:55:32,838 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:55:32,839 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2023-06-19 10:55:32,839 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:55:32,852 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2023-06-19 10:55:32,889 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:55:47,362 "GET /site-config HTTP/1.1" 200 10862
INFO 2023-06-19 10:55:55,745 "GET /session/list/ HTTP/1.1" 200 11598
INFO 2023-06-19 10:56:02,417 "GET /term/list/ HTTP/1.1" 200 12231
INFO 2023-06-19 10:56:06,701 "GET /subject/list/ HTTP/1.1" 200 11397
INFO 2023-06-19 10:56:06,729 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:56:06,740 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:56:06,742 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:56:06,742 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:56:06,743 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:56:06,743 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2023-06-19 10:56:06,748 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2023-06-19 10:56:06,753 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:56:06,754 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2023-06-19 10:56:06,754 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
